scene,video,frame,layer,bf16_fp32_max_abs,bf16_fp32_mean_abs,bf16_fp32_cosine_mean,compile_fp32_max_abs,compile_fp32_mean_abs,compile_fp32_cosine_mean,compile_bf16_max_abs,compile_bf16_mean_abs,compile_bf16_cosine_mean
R03,01,0,12,0.137831449508667,0.0005635474226437509,0.00029715392156504095,0.1374913454055786,0.0005598723655566573,0.00031248643063008785,0.03579974174499512,0.0003403755836188793,8.679848542669788e-05
R03,01,0,13,0.03205261752009392,0.0006045313784852624,0.0002855847415048629,0.036834970116615295,0.0005994116072542965,0.0002992151421494782,0.018770918250083923,0.00037017525755800307,9.793501521926373e-05
R04,01,0,0,0.002726733684539795,0.0001175202414742671,1.0587068572931457e-05,0.002726733684539795,0.00011751980491681024,1.058981979440432e-05,0.00011343322694301605,1.334969801369823e-09,1.7056098755574567e-08
R04,01,0,1,0.015118122100830078,0.00025751645443961024,5.914688154007308e-05,0.01511809229850769,0.00025751409702934325,5.9096630138810724e-05,0.007829844951629639,3.1354220482171513e-06,3.1269513556253514e-07
R04,01,0,2,0.00727563351392746,0.0004035425081383437,0.00012209361011628062,0.0081540048122406,0.00040378436096943915,0.00012224802048876882,0.004086226224899292,6.189074338180944e-05,6.364125511026941e-06
R04,01,0,3,0.006343811750411987,0.00038601012784056365,0.00010517890768824145,0.006247669458389282,0.00038523905095644295,0.0001051191211445257,0.0033609867095947266,0.00012378839892335236,1.3237366147222929e-05
R04,01,0,4,0.012316416949033737,0.00043585640378296375,0.00013127803686074913,0.012313634157180786,0.00043879778240807354,0.00013348359789233655,0.002978995442390442,0.00018925595213659108,2.6362858989159577e-05
R04,01,0,5,0.01049860566854477,0.00047424243530258536,0.00014827141421847045,0.010500119999051094,0.00047753521357662976,0.0001508716377429664,0.004698214121162891,0.0002420646633254364,3.993125937995501e-05
R04,01,0,6,0.007875217124819756,0.00048430010792799294,0.00015577737940475345,0.007882853969931602,0.000490451289806515,0.00015904297470115125,0.004809975624084473,0.00026738757151179016,4.810351674677804e-05
R04,01,0,7,0.009371727705001831,0.00048771730507723987,0.00015595050354022533,0.009517639875411987,0.0004943172098137438,0.00016033521387726068,0.007894903421401978,0.00029200129210948944,5.649676677421667e-05
R04,01,0,8,0.013230271637439728,0.0005237898440100253,0.0001883893710328266,0.015307647176086903,0.0005276420852169394,0.0001949488214449957,0.006309226155281067,0.00032156548695638776,6.804063013987616e-05
R04,01,0,9,0.10003912448883057,0.0005651896935887635,0.000285725953290239,0.10948503017425537,0.0005686405929736793,0.00030986987985670567,0.009445905685424805,0.00035211702925153077,8.17302570794709e-05
R04,01,0,10,0.08850377798080444,0.000571107491850853,0.0003120611363556236,0.09481239318847656,0.0005762886721640825,0.0003308310988359153,0.006308615207672119,0.00036184239434078336,8.614869875600561e-05
R04,01,0,11,0.13224434852600098,0.0005980717251077294,0.00041294776019640267,0.13614124059677124,0.0006092996918596327,0.00043893777183257043,0.0072869062423706055,0.000377505028154701,9.663582022767514e-05
R04,01,0,12,0.21906399726867676,0.00051682791672647,0.0005467908340506256,0.2253900170326233,0.0005263500497676432,0.0005927551537752151,0.014925509691238403,0.00030193509883247316,6.224870594451204e-05
R04,01,0,13,0.11969073116779327,0.0005665578064508736,0.000506739248521626,0.12579651176929474,0.0005743277724832296,0.0005541843711398542,0.011081770062446594,0.0003365058801136911,7.478548650396988e-05
