layer,M,N,K,kind,regime,repeat,us,calls_per_event
qkv,16,2304,768,packed_int4,eviction_attempt,3,14.336000196635723,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,3,10.239999741315842,1
qkv,16,2304,768,bf16,eviction_attempt,3,10.239999741315842,1
qkv,16,2304,768,fused_int4,eviction_attempt,3,18.432000651955605,1
qkv,16,2304,768,native_int4,eviction_attempt,3,12.28800043463707,1
qkv,16,2304,768,native_int4,eviction_attempt,4,11.90400030463934,1
qkv,16,2304,768,packed_int4,eviction_attempt,4,13.919999822974205,1
qkv,16,2304,768,dequant_only,eviction_attempt,4,8.191999979317188,1
qkv,16,2304,768,bf16,eviction_attempt,4,10.239999741315842,1
qkv,16,2304,768,fused_int4,eviction_attempt,4,19.45599913597107,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,4,10.239999741315842,1
qkv,16,2304,768,bf16,eviction_attempt,5,10.239999741315842,1
qkv,16,2304,768,packed_int4,eviction_attempt,5,12.28800043463707,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,5,10.239999741315842,1
qkv,16,2304,768,native_int4,eviction_attempt,5,12.28800043463707,1
qkv,16,2304,768,dequant_only,eviction_attempt,5,6.175999995321035,1
qkv,16,2304,768,fused_int4,eviction_attempt,5,18.432000651955605,1
qkv,16,2304,768,native_int4,eviction_attempt,6,12.28800043463707,1
qkv,16,2304,768,bf16,eviction_attempt,6,10.239999741315842,1
qkv,16,2304,768,fused_int4,eviction_attempt,6,18.432000651955605,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,6,12.28800043463707,1
qkv,16,2304,768,packed_int4,eviction_attempt,6,12.28800043463707,1
qkv,16,2304,768,dequant_only,eviction_attempt,6,6.144000217318535,1
qkv,16,2304,768,bf16,eviction_attempt,7,10.239999741315842,1
qkv,16,2304,768,native_int4,eviction_attempt,7,12.28800043463707,1
qkv,16,2304,768,dequant_only,eviction_attempt,7,6.175999995321035,1
qkv,16,2304,768,fused_int4,eviction_attempt,7,18.432000651955605,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,7,10.239999741315842,1
qkv,16,2304,768,packed_int4,eviction_attempt,7,12.28800043463707,1
qkv,16,2304,768,fused_int4,eviction_attempt,8,18.432000651955605,1
qkv,16,2304,768,packed_int4,eviction_attempt,8,12.28800043463707,1
qkv,16,2304,768,bf16,eviction_attempt,8,10.239999741315842,1
qkv,16,2304,768,predequant_gemm,eviction_attempt,8,10.239999741315842,1
qkv,16,2304,768,native_int4,eviction_attempt,8,12.28800043463707,1
