layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
fc1,1,fused_int4,eviction_attempt,18.432000651955605,18.723048269748688,18.400000408291817,24.57600086927414,21
fc1,16,bf16,warm,4.077000077813864,4.189142824283668,4.040000028908253,4.84299985691905,7
fc1,16,bf16,eviction_attempt,10.239999741315842,10.122666490219888,8.191999979317188,12.28800043463707,21
fc1,16,native_int4,warm,7.517999969422817,7.773714339626687,7.486000191420317,9.122000075876713,7
fc1,16,native_int4,eviction_attempt,12.28800043463707,12.580571829208306,12.28800043463707,14.336000196635723,21
fc1,16,packed_int4,warm,8.422000333666801,8.571999945810862,8.093999698758125,9.639999829232693,7
fc1,16,packed_int4,eviction_attempt,12.28800043463707,12.385524188478788,10.239999741315842,14.336000196635723,21
fc1,16,dequant_only,warm,4.542000126093626,4.621142854115793,4.486000165343285,5.140999797731638,7
fc1,16,dequant_only,eviction_attempt,8.191999979317188,7.788190462936957,6.144000217318535,8.191999979317188,21
fc1,16,predequant_gemm,warm,4.253000020980835,4.351285618862936,4.19399980455637,4.881999921053648,7
fc1,16,predequant_gemm,eviction_attempt,10.239999741315842,9.458285579014392,8.191999979317188,10.239999741315842,21
fc1,16,fused_int4,warm,14.643999747931957,14.685285543756825,14.600000344216824,14.960999600589275,7
fc1,16,fused_int4,eviction_attempt,18.432000651955605,18.42895300970191,18.36800016462803,18.432000651955605,21
fc1,64,bf16,warm,5.106000229716301,5.196285766682455,5.040999967604876,5.781000014394522,7
fc1,64,bf16,eviction_attempt,12.28800043463707,12.676571806271872,12.28800043463707,14.336000196635723,21
fc1,64,native_int4,warm,16.359999775886536,16.593000452433312,16.27900078892708,17.914000898599625,7
fc1,64,native_int4,eviction_attempt,22.52800017595291,21.74780943564006,20.479999482631683,22.52800017595291,21
fc1,64,packed_int4,warm,10.491999797523022,10.740142980856556,10.40900032967329,12.18200009316206,7
fc1,64,packed_int4,eviction_attempt,18.432000651955605,18.43657193794137,14.431999996304512,20.479999482631683,21
fc1,64,dequant_only,warm,4.532999824732542,4.613857117614576,4.492000211030245,5.09499991312623,7
fc1,64,dequant_only,eviction_attempt,8.191999979317188,8.077714259603194,6.175999995321035,8.191999979317188,21
fc1,64,predequant_gemm,warm,6.291999947279692,6.377428570496185,5.969999823719263,7.143000140786171,7
fc1,64,predequant_gemm,eviction_attempt,18.432000651955605,17.651809911642754,16.383999958634377,18.432000651955605,21
fc1,64,fused_int4,warm,14.301000162959099,14.324571272092205,14.073999598622322,14.600000344216824,7
fc1,64,fused_int4,eviction_attempt,18.432000651955605,18.528000584670476,18.400000408291817,20.479999482631683,21
fc1,325,bf16,warm,10.099999606609344,10.088999888726644,9.891999885439873,10.27000043541193,7
fc1,325,bf16,eviction_attempt,16.383999958634377,16.36571428250699,16.00000075995922,16.383999958634377,21
fc1,325,native_int4,warm,57.218000292778015,57.4877139713083,56.9939985871315,59.158001095056534,7
fc1,325,native_int4,eviction_attempt,63.48799914121628,63.09637994993301,61.43999844789505,65.5359998345375,21
fc1,325,packed_int4,warm,15.80899953842163,16.127999339784896,15.760999172925949,17.61999912559986,7
fc1,325,packed_int4,eviction_attempt,22.52800017595291,22.70476209620635,22.143999114632607,24.57600086927414,21
fc1,325,dequant_only,warm,4.45799995213747,4.5235714476023405,4.220000002533197,5.123000126332045,7
fc1,325,dequant_only,eviction_attempt,8.191999979317188,7.885714283301716,6.144000217318535,8.224000222980976,21
fc1,325,predequant_gemm,warm,11.535000056028366,11.652571415262562,11.160999536514282,12.480000033974648,7
fc1,325,predequant_gemm,eviction_attempt,22.52800017595291,22.038857142130535,20.479999482631683,24.57600086927414,21
fc1,325,fused_int4,warm,30.181000009179115,30.179857409426145,30.04699945449829,30.244000256061554,7
fc1,325,fused_int4,eviction_attempt,34.81600061058998,34.019047837881814,32.76799991726875,36.86400130391121,21
fc2,1,bf16,warm,9.459000080823898,9.546143135854177,9.402000345289707,10.089999996125698,7
